Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
35,Travis Best\besttr01,PG,29,TOT,74,1747,14.3,0.511,0.114,0.224,1.3,8.7,5,31.3,2.7,0.3,14.8,17.5,,1.9,1.4,3.4,0.093,,-1.1,0.3,-0.8,0.6
35,Travis Best\besttr01,PG,29,IND,44,954,13.7,0.516,0.129,0.246,1.2,6.9,4.1,29.8,3.1,0.4,16.8,16.7,,1,1,2,0.099,,-1.2,1.3,0.1,0.5
35,Travis Best\besttr01,PG,29,CHI,30,793,14.9,0.505,0.098,0.201,1.4,10.7,6,33.1,2.1,0.1,12.6,18.4,,1,0.4,1.4,0.085,,-0.9,-0.9,-1.8,0.1
36,Mike Bibby\bibbymi01,PG,23,SAC,80,2659,14.9,0.513,0.14,0.196,1.5,7.3,4.5,23,1.6,0.4,11.1,19.7,,3.7,2.6,6.3,0.113,,0.3,0,0.4,1.6
37,Chauncey Billups\billuch01,PG,25,MIN,82,2355,17.6,0.555,0.383,0.284,1.7,9.2,5.5,29.2,1.5,0.5,13,20.4,,6.1,1.5,7.6,0.156,,3.1,-0.6,2.5,2.7
38,Mookie Blaylock\blaylmo01,PG,34,GSW,35,599,9.2,0.398,0.288,0.055,1.4,8.1,4.7,28.2,2,0.5,19.8,13.1,,-0.2,0.1,-0.1,-0.004,,-2.1,-0.7,-2.8,-0.1
39,Corie Blount\blounco01,PF,33,PHI,72,1426,10.2,0.478,0.004,0.179,12,17.2,14.6,4.9,1.9,1.4,16.1,10.4,,0.7,2.4,3.1,0.104,,-2.7,0.9,-1.9,0.1
40,Mark Blount\blounma01,C,26,BOS,44,415,9.3,0.509,0,0.487,6.7,16,11.2,3.8,2,3.6,20,12.7,,0,0.7,0.7,0.081,,-5.4,1.3,-4.1,-0.2
41,Calvin Booth\boothca01,C,25,SEA,15,279,11.9,0.502,0,0.293,8.6,14.1,11.4,8.6,1.2,3.5,14.7,18.1,,0.2,0.3,0.5,0.082,,-3.3,0.2,-3,0
42,Ruben Boumtje-Boumtje\boumtru01,C,23,POR,33,245,6.5,0.453,0,0.781,10,16.5,13.2,2.3,0.7,5,24.6,10.6,,-0.1,0.3,0.2,0.03,,-6.1,0.5,-5.6,-0.2
43,Cal Bowdler\bowdlca01,PF,24,ATL,52,585,9.4,0.416,0.029,0.27,7.4,14.1,10.7,3,1.6,1.9,5.3,15.9,,0,0.5,0.5,0.039,,-3.3,-1,-4.3,-0.3
44,Bruce Bowen\bowenbr01,SF,30,SAS,59,1699,8.2,0.468,0.372,0.241,2.9,7.9,5.5,8.1,1.9,1,13,13.9,,-0.3,2.2,1.9,0.054,,-2.5,1.2,-1.3,0.3
45,Ryan Bowen\bowenry01,SF,26,DEN,75,1686,11.4,0.524,0.039,0.3,8.6,11.7,10.1,4.8,2.4,1.8,10.6,10.3,,1.9,1.2,3.1,0.088,,-2,0.9,-1.1,0.4
46,Ira Bowman\bowmair01,SG,28,PHI,3,29,16.4,0.714,0.143,0,0,3.9,2,6.4,3.7,0,0,11.1,,0.1,0,0.1,0.21,,1.1,5.5,6.6,0.1
47,Earl Boykins\boykiea01,PG,25,LAC,68,761,13.9,0.464,0.153,0.222,4.1,4,4,31.5,1.4,0.2,12.7,20.5,,0.9,0.2,1,0.065,,0.6,-2,-1.3,0.1
48,Michael Bradley\bradlmi01,PF,22,TOR,26,118,9.9,0.526,0.08,0.32,6.6,17.1,11.7,4,0,3.8,17.4,13.4,,0,0.1,0.1,0.053,,-3.7,-1.1,-4.8,-0.1
49,Shawn Bradley\bradlsh01,C,29,DAL,53,757,14.6,0.562,0.006,0.393,7.9,17.8,12.9,3.8,1.9,6,11.6,12.9,,1.3,1,2.3,0.144,,-1.8,2.1,0.3,0.4
50,Elton Brand\brandel01,PF,22,LAC,80,3020,23.6,0.586,0,0.519,15,19.6,17.3,11,1.4,3.7,12.2,21.1,,9.9,3.7,13.6,0.216,,3.9,0.4,4.3,4.8
51,Terrell Brandon\brandte01,PG,31,MIN,32,962,21.2,0.494,0.063,0.23,2.1,9,5.6,42.8,2.9,0.5,9.7,20.9,,2.8,0.9,3.7,0.186,,4,1,5,1.7
52,Jamison Brewer\breweja01,SG,21,IND,13,43,10,0.4,0.2,0,5.4,15.4,10.5,30.3,2.4,0,37.5,8.4,,0,0.1,0,0.052,,-3.2,2.2,-1,0
53,Primož Brezec\brezepr01,C,22,IND,22,160,9.8,0.538,0,0.862,11.6,8.3,9.9,5.8,0,3.1,13,13,,0.2,0.1,0.3,0.096,,-3,-0.9,-3.9,-0.1
54,Chucky Brown\brownch01,SF,33,SAC,18,92,10.1,0.377,0,0.074,11.8,26.2,19.2,9.1,1.1,2.9,15.2,15.6,,-0.1,0.2,0.1,0.052,,-3.6,0.8,-2.8,0
55,Damone Brown\brownda02,SF,22,PHI,17,67,1.6,0.469,0.048,0.381,3.4,3.4,3.4,5,0.8,1.1,26.8,22.9,,-0.2,0.1,-0.1,-0.096,,-8.5,-2.4,-10.9,-0.1
56,Dee Brown\brownde01,PG,33,ORL,7,65,-3.2,0.175,0.6,0,0,15.6,7.7,4.2,2.4,1.1,16.7,16.5,,-0.4,0.1,-0.3,-0.214,,-10.7,-2.5,-13.2,-0.2
57,Ernest Brown\browner01,C,22,MIA,3,21,-9.7,0.193,0,0.667,5.6,27.6,16.7,0,0,3.7,27.9,24.5,,-0.2,0,-0.2,-0.349,,-16.5,-1.7,-18.2,-0.1
58,Kedrick Brown\brownke01,SF,20,BOS,29,245,11.9,0.4,0.386,0.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16,,-0.1,0.5,0.4,0.075,,-2.3,3.1,0.8,0.2
59,Kwame Brown\brownkw01,PF,19,WAS,57,817,11.2,0.45,0.004,0.407,8.9,19.4,14.1,8.4,1.1,2.4,13,18.6,,0,0.8,0.8,0.048,,-3.1,-0.9,-4,-0.4
60,P.J. Brown\brownpj01,C,32,CHH,80,2563,15.1,0.545,0,0.374,12.2,22.8,17.5,6.6,1.2,2.2,12.2,12.4,,4.6,3.6,8.2,0.154,,0.1,0.2,0.3,1.5
61,Randy Brown\brownra02,PG,33,BOS,1,6,8.6,0,0,0,0,0,0,46.4,0,13,0,7.6,,0,0,0,0.025,,-1,5.2,4.2,0
62,Tierre Brown\brownti01,SG,22,HOU,40,403,12.4,0.483,0.104,0.243,3.4,8.6,6,29.5,2.6,0.5,23.9,19.3,,-0.1,0.2,0.1,0.006,,-2.3,-1,-3.3,-0.1
63,Rick Brunson\brunsri01,PG,29,POR,59,520,12.2,0.477,0.097,0.363,5.1,10.3,7.7,32.7,2.6,0.3,26.4,15.6,,0.2,0.5,0.7,0.066,,-1.6,0.5,-1.1,0.1
64,Kobe Bryant*\bryanko01,SG,23,LAL,80,3063,23.2,0.544,0.083,0.369,4.1,11.7,7.9,25.9,2,0.8,10.7,30.4,,8.9,3.8,12.7,0.199,,4.3,0.3,4.6,5.2
65,Mark Bryant\bryanma01,PF,36,SAS,30,206,11.5,0.478,0,0.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,0.133,,-2.9,0.2,-2.7,0
66,Greg Buckner\buckngr01,SG,25,DAL,44,885,13.3,0.566,0.081,0.293,8.6,13.1,10.9,7.9,1.8,1.5,10.8,12.8,,1.7,0.6,2.3,0.126,,-0.4,0.6,0.2,0.5
67,Jud Buechler\buechju01,SF,33,TOT,66,684,7.8,0.463,0.508,0.034,4.7,14.3,9.5,6.5,1.6,0.8,11.1,8.8,,0.2,0.6,0.8,0.059,,-2.4,0.2,-2.2,0
67,Jud Buechler\buechju01,SF,33,PHO,6,54,5.1,0.5,1,0,4.1,12.7,8.4,7.5,1,0,14.3,5.8,,0,0,0.1,0.064,,-3.3,-0.5,-3.8,0
67,Jud Buechler\buechju01,SF,33,ORL,60,630,8,0.461,0.482,0.036,4.8,14.5,9.6,6.5,1.6,0.9,11,9.1,,0.2,0.6,0.8,0.058,,-2.3,0.2,-2.1,0
68,Rodney Buford\buforro01,SG,24,MEM,63,1769,10.1,0.47,0.118,0.135,3.3,13.9,8.6,7,1.3,0.5,9.1,17.8,,-0.2,1,0.8,0.022,,-3,-1.1,-4.2,-1
69,Matt Bullard\bullama01,PF,34,CHH,31,350,6.8,0.436,0.496,0.104,3.3,12,7.7,7.4,0.3,0.4,9.1,17.3,,-0.1,0.2,0.1,0.016,,-2.8,-1.9,-4.7,-0.2
70,Mitchell Butler\butlemi02,SG,31,POR,11,90,9.4,0.513,0.13,0.522,7.7,10.6,9.1,8.6,0,0.8,15,16.9,,0.1,0,0.1,0.057,,-2.3,-2.5,-4.7,-0.1
71,Jason Caffey\caffeja01,PF,28,MIL,23,283,11.2,0.544,0.014,0.597,10.3,10.1,10.2,6.7,0.8,1.3,17.3,18.2,,0.2,0.1,0.3,0.056,,-3.2,-2.2,-5.5,-0.2
72,Marcus Camby\cambyma01,C,27,NYK,29,1007,15.1,0.483,0.003,0.341,10.2,26.8,18.5,5.6,1.8,3.7,11.2,17.4,,0.5,1.7,2.1,0.102,,-1,1.3,0.4,0.6
73,Elden Campbell\campbel01,PF,33,CHH,77,2156,19.5,0.558,0.003,0.484,7,21,14,8.5,1.5,4.6,12.5,23.3,,4,3.5,7.6,0.168,,0.5,1.5,1.9,2.2
74,Brian Cardinal\cardibr01,PF,24,DET,8,43,15.9,0.612,0.538,0.154,5.5,10.9,8.2,8,1.2,0,0,15.2,,0.1,0,0.2,0.201,,2.4,-0.5,2,0
75,Anthony Carter\cartean01,PG,26,MIA,46,1050,8.9,0.359,0.073,0.138,2.1,10.8,6.5,33,2.6,0.2,20.7,15.8,,-1.4,1.6,0.2,0.008,,-4.3,1.2,-3.1,-0.3
76,Vince Carter\cartevi01,SG,25,TOR,60,2385,20.5,0.515,0.239,0.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,,4.6,2.4,7,0.14,,4.7,-0.3,4.4,3.9
77,Sam Cassell\cassesa01,PG,32,MIL,74,2605,21.3,0.545,0.17,0.274,2.5,10.9,6.9,34.3,1.8,0.3,11.7,27.3,,7.2,1.4,8.6,0.158,,3.5,-1.1,2.4,2.9
78,Kelvin Cato\catoke01,C,27,HOU,75,1917,15,0.599,0.003,0.595,10.4,21.1,15.7,2.5,1.1,3.4,11.4,11.2,,3.6,1.7,5.3,0.133,,-1,0.2,-0.7,0.6
79,Tyson Chandler\chandty01,C,19,CHI,71,1389,13,0.543,0,0.73,9.3,19.8,14.4,6.5,1.1,5,19.8,16.6,,0.4,1.4,1.8,0.062,,-3.3,-0.2,-3.5,-0.5
80,Calbert Cheaney\cheanca01,SG,30,DEN,68,1631,10.3,0.499,0.009,0.144,3.8,13.4,8.4,11.3,1.1,1,12.4,15.5,,0.6,0.6,1.2,0.037,,-2.8,-0.8,-3.5,-0.6
81,Chris Childs\childch01,PG,34,TOR,69,1576,8.8,0.435,0.405,0.24,1.3,10.2,5.6,32.9,1.9,0.2,27.3,13,,-0.4,1.5,1.1,0.033,,-3.9,-0.3,-4.2,-0.9
82,Doug Christie\chrisdo01,SG,31,SAC,81,2798,15.2,0.578,0.348,0.329,2.9,11.2,7.1,17.2,2.9,0.6,16.3,15.6,,4.4,4.2,8.6,0.148,,0.3,2.2,2.4,3.1
83,Keon Clark\clarkke01,C,26,TOR,81,2185,16.7,0.522,0.006,0.297,9.3,22.9,15.8,7.1,1.4,4.2,13.8,21.2,,1.7,3.6,5.3,0.116,,-1.3,0.6,-0.7,0.7
84,Speedy Claxton\claxtsp01,PG,23,PHI,67,1528,12.6,0.469,0.073,0.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,0.087,,-2.5,2.1,-0.4,0.6
85,Mateen Cleaves\cleavma01,PG,24,SAC,32,153,8.8,0.486,0.118,0.132,0.7,4.8,2.8,25.9,2.3,0,27.3,28.1,,-0.4,0.2,-0.3,-0.082,,-4.9,-2.3,-7.2,-0.2
86,Derrick Coleman\colemde01,PF,34,PHI,58,2080,16.2,0.524,0.113,0.309,9.2,18.5,13.9,8.5,1.1,1.9,12.5,21,,2.7,3.2,5.9,0.135,,0.8,0.1,0.9,1.5
87,Bimbo Coles\colesbi01,PG,33,CLE,47,693,8.8,0.459,0.137,0.253,2.1,7.2,4.7,23.3,1,0.4,16,12.8,,0.4,0,0.4,0.027,,-3,-1.6,-4.5,-0.4
88,Jason Collier\collija02,C,24,HOU,25,365,11.1,0.486,0.011,0.337,9.6,16.2,12.8,4.1,0.9,0.7,10.6,15.5,,0.3,0.1,0.4,0.057,,-3.1,-2.1,-5.2,-0.3
89,Jarron Collins\collija03,C,23,UTA,70,1440,11.5,0.532,0.003,0.528,11.5,13.3,12.4,6.6,1.1,1.2,11.7,15,,2.3,1,3.3,0.111,,-2.1,-1.2,-3.3,-0.5
90,Jason Collins\collija04,C,23,NJN,77,1407,10.7,0.5,0.007,0.59,10.5,13.6,12,8.4,1.1,2.4,17.1,13.5,,1,2,3,0.104,,-2.7,0.6,-2.1,0
91,Chris Crawford\crawfch01,PF,26,ATL,7,131,11.5,0.514,0.022,0.333,7.8,14,10.9,6.7,0.8,2.8,16.2,21.3,,0,0.1,0.1,0.035,,-3.2,-0.3,-3.6,-0.1
92,Jamal Crawford\crawfja01,PG,21,CHI,23,481,15.3,0.555,0.31,0.07,1.2,7.2,4.1,21.8,2,0.8,14.2,21.5,,0.4,0.2,0.6,0.055,,1.7,-1.9,-0.2,0.2
93,Joe Crispin\crispjo01,PG,22,TOT,21,156,17.1,0.536,0.574,0.191,1.4,6.6,4,27.4,1.7,0,11.9,24,,0.3,0.1,0.4,0.136,,3.8,-0.2,3.6,0.2
93,Joe Crispin\crispjo01,PG,22,LAL,6,27,5,0.352,0.333,0.417,0,4,2,10.8,1.9,0,6.6,25.2,,-0.1,0,0,-0.066,,-8.4,-1.6,-10.1,-0.1
93,Joe Crispin\crispjo01,PG,22,PHO,15,129,19.6,0.58,0.625,0.143,1.7,7.1,4.4,30.9,1.6,0,13.1,23.8,,0.4,0.1,0.5,0.178,,6.4,0.1,6.5,0.3
94,Austin Croshere\croshau01,PF,26,IND,76,1286,14.3,0.518,0.324,0.254,6.7,18.8,12.9,10.1,1.1,1.6,11.9,19.9,,1.2,1.4,2.6,0.098,,0.4,-0.4,0.1,0.7
95,John Crotty\crottjo01,PG,32,UTA,41,802,14.5,0.599,0.332,0.317,2.4,8.9,5.6,29.2,1.3,0.1,17.7,16.2,,1.8,0.4,2.2,0.129,,1.1,-0.8,0.3,0.5
96,Vonteego Cummings\cummivo01,PG,25,PHI,58,501,11.8,0.477,0.246,0.171,3.2,8.5,5.9,21.6,1.9,0.8,15.2,21.7,,0,0.6,0.6,0.06,,-1.8,0.2,-1.6,0.1
97,Dell Curry\curryde01,SG,37,TOR,56,886,12,0.495,0.378,0.107,2.9,7.8,5.2,11.9,1.3,0.5,10.1,20.8,,0.6,0.6,1.2,0.063,,0,-1,-1,0.2
98,Eddy Curry\curryed01,C,19,CHI,72,1150,14.4,0.54,0,0.424,11,16.8,13.8,4,0.7,3.4,13.4,20.7,,1,0.8,1.8,0.075,,-2.4,-1.9,-4.4,-0.7
99,Michael Curry\currymi01,SG,33,DET,82,1912,6.2,0.521,0.094,0.33,0.9,9.4,5.2,10.1,1.3,0.4,16,9.3,,0.7,1.6,2.3,0.057,,-4.6,0.6,-4,-1
100,Samuel Dalembert\dalemsa01,C,20,PHI,34,177,13.2,0.44,0,0.36,16.2,27.3,21.8,4.8,1.8,5.6,19.5,18.6,,-0.2,0.4,0.3,0.072,,-4.4,0.8,-3.6,-0.1
101,Erick Dampier\dampier01,C,26,GSW,73,1740,11.3,0.484,0,0.44,10,13.9,11.9,7.8,0.5,6.5,21.4,17.6,,-0.8,1.1,0.3,0.009,,-3.9,0.4,-3.5,-0.7
102,Antonio Daniels\daniean01,SG,26,SAS,82,2175,13.4,0.534,0.32,0.343,1.3,7.8,4.7,17.2,1.2,0.4,9,16.6,,3.7,2.3,5.9,0.131,,0.2,0.2,0.4,1.3
103,Antonio Davis\davisan01,PF,33,TOR,77,2978,14.8,0.497,0.001,0.372,9.5,19.4,14.3,8.7,1,2.1,12.4,19.6,,3,3.6,6.5,0.105,,-0.5,-0.4,-0.9,0.8
104,Baron Davis\davisba01,PG,22,CHH,82,3318,18.2,0.498,0.356,0.252,3.2,8.8,6,37.3,2.8,1,14.2,23.9,,4.4,3.8,8.2,0.118,,3.3,0.4,3.8,4.8
105,Dale Davis\davisda01,C,32,POR,78,2447,16.6,0.551,0,0.366,12.4,20.7,16.5,6.2,1.4,2.6,8.4,13.7,,5.4,3.1,8.5,0.168,,1,0.1,1.1,1.9
106,Emanual Davis\davisem01,PG,33,ATL,28,774,6.5,0.449,0.429,0.091,2.8,8.2,5.5,13.7,1.8,0.5,20.2,15.1,,-0.7,0.4,-0.3,-0.019,,-3.7,-0.8,-4.5,-0.5
107,Hubert Davis\davishu01,SG,31,WAS,51,1231,10.7,0.544,0.387,0.064,0.7,6.7,3.6,13.9,1.2,0.2,11.6,14.2,,1.3,0.4,1.7,0.065,,-0.3,-0.5,-0.8,0.4
108,Ricky Davis\davisri01,SF,22,CLE,82,1954,15.9,0.539,0.045,0.318,3.8,10.7,7.3,16.6,1.9,0.9,14.3,24.4,,1.9,0.8,2.8,0.068,,0.1,-1.1,-1,0.5
109,Andrew DeClercq\declean01,C,28,ORL,61,633,10.1,0.474,0,0.336,13,15.8,14.4,5.2,1.9,2.7,16.6,14.5,,0.2,0.8,1,0.073,,-4.8,0,-4.8,-0.5
110,Vinny Del Negro\delnevi01,PG,35,PHO,2,6,7.1,0.25,0,0,0,0,0,54.3,0,0,0,29.9,,0,0,0,-0.141,,-5.6,-7.5,-13.2,0
111,Tony Delk\delkto01,SG,28,TOT,63,1447,13.8,0.473,0.364,0.165,4.4,11.4,7.8,15.2,1.9,0.5,8.6,21.5,,1,1.5,2.5,0.084,,0.1,-0.2,0,0.7
