,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Birth Date,City,Country
163,Kostas Antetokounmpo,2,2019,2020,7,31,3,6,0,0,3,6,2,4,2,2,0,2,2,9,0.5,,0.5,4.4,1.3,0.6,0.3,20-Nov-97,Athens,Greece
164,Thanasis Antetokounmpo,2,2016,2020,22,135,27,52,0,11,7,17,12,25,15,7,2,12,20,61,0.519,0,0.412,6.1,2.8,1.1,0.7,18-Jul-92,Athens,Greece
165,Antonis Fotsis,1,2002,2002,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,0.404,0.304,0.85,11.4,3.9,2.2,0.4,1-Apr-81,Athens,Greece
166,Andreas Glyniadakis,1,2007,2007,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,0.471,,0.5,6.2,1.3,0.6,0.1,21-Aug-81,Hania,Greece
167,Georgios Papagiannis,2,2017,2018,39,477,74,144,0,2,12,14,37,123,29,7,23,32,56,160,0.514,0,0.857,12.2,4.1,3.2,0.7,3-Jul-97,Amarousio,Greece
168,Kostas Papanikolaou,2,2015,2016,69,1089,93,263,41,138,22,32,47,158,101,42,18,76,95,249,0.354,0.297,0.688,15.8,3.6,2.3,1.5,31-Jul-90,Trikala,Greece
169,Efthimi Rentzias,1,2003,2003,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,0.339,0.5,0.889,4.1,1.5,0.7,0.2,11-Jan-76,Trikala,Greece
170,Vassilis Spanoulis,1,2007,2007,31,272,23,72,5,29,34,42,5,22,28,7,1,29,33,85,0.319,0.172,0.81,8.8,2.7,0.7,0.9,7-Aug-82,Larissa,Greece
172,Ronny Turiaf,10,2006,2015,473,8020,856,1607,0,7,497,782,520,1757,618,181,593,358,1116,2209,0.533,0,0.636,17,4.7,3.7,1.3,13-Jan-83,Le Robert,Martinique
174,Mengke Bateer,3,2002,2004,46,494,61,156,5,15,29,39,39,114,27,11,5,40,118,156,0.391,0.333,0.744,10.7,3.4,2.5,0.6,20-Nov-75,Beijing,China
175,Yi Jianlian,5,2008,2012,272,6038,813,2012,75,225,447,573,379,1339,192,136,184,302,618,2148,0.404,0.333,0.78,22.2,7.9,4.9,0.7,27-Oct-87,He Shan,China
176,Tom Meschery,10,1962,1971,778,23459,3877,8793,,,2150,2885,,6698,1331,,,,2841,9904,0.441,,0.745,30.2,12.7,8.6,1.7,26-Oct-38,Harbin Manchuria,China
177,Yao Ming*,8,2003,2011,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,0.524,0.2,0.833,32.5,19,9.2,1.6,12-Sep-80,Shanghai,China
178,Zhou Qi,2,2018,2019,19,125,7,33,2,19,8,12,6,22,2,2,14,10,14,24,0.212,0.105,0.667,6.6,1.3,1.2,0.1,16-Jan-96,Henan,China
179,Sun Yue,1,2009,2009,10,28,3,11,0,6,0,0,0,0,2,1,1,3,10,6,0.273,0,,2.8,0.6,0,0.2,6-Nov-85,Hebei,China
180,Wang Zhizhi,5,2001,2005,137,1256,213,511,70,182,108,147,56,231,39,25,35,68,155,604,0.417,0.385,0.735,9.2,4.4,1.7,0.3,8-Jul-77,Beijing,China
182,Lars Hansen,1,1979,1979,15,205,29,57,,,18,31,22,59,14,1,1,9,28,76,0.509,,0.581,13.7,5.1,3.9,0.9,14-Sep-54,Copenhagen,Denmark
184,Álex Abrines,3,2017,2019,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,0.387,0.368,0.88,16,5.3,1.4,0.5,1-Aug-93,Palma de Mallorca,Spain
185,Wallace Bryant,3,1984,1986,102,1395,134,329,0,0,55,96,128,374,112,35,40,71,196,323,0.407,,0.573,13.7,3.2,3.7,1.1,14-Jul-59,Madrid,Spain
186,José Calderón,14,2006,2019,895,23643,3038,6440,920,2260,925,1060,303,2148,5148,716,71,1339,1476,7921,0.472,0.407,0.873,26.4,8.9,2.4,5.8,28-Sep-81,Villanueva de la Serena,Spain
187,Victor Claver,3,2013,2015,80,1072,100,251,34,116,24,41,43,178,56,30,16,58,103,258,0.398,0.293,0.585,13.4,3.2,2.2,0.7,30-Aug-88,Valencia,Spain
188,Rudy Fernández,4,2009,2012,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,0.399,0.36,0.84,24,9.1,2.4,2.2,4-Apr-85,Palma de Mallorca,Spain
189,Jorge Garbajosa,2,2007,2008,74,1983,230,554,72,209,57,78,50,345,128,81,15,65,92,589,0.415,0.344,0.731,26.8,8,4.7,1.7,19-Dec-77,Madrid,Spain
190,Marc Gasol,12,2009,2020,839,27726,4547,9444,381,1075,2777,3575,1373,6389,2887,766,1196,1702,2436,12252,0.481,0.354,0.777,33,14.6,7.6,3.4,29-Jan-85,Barcelona,Spain
191,Pau Gasol,18,2002,2019,1226,41001,7980,15729,179,486,4755,6311,3085,11305,3925,606,1941,2638,2632,20894,0.507,0.368,0.753,33.4,17,9.2,3.2,6-Jul-80,Barcelona,Spain
192,Juan Hernangómez,4,2017,2020,205,3310,368,860,170,473,177,245,168,703,136,82,48,109,245,1083,0.428,0.359,0.722,16.1,5.3,3.4,0.7,28-Sep-95,Madrid,Spain
193,Willy Hernangómez,4,2017,2020,209,3006,564,1063,29,88,287,418,391,1130,218,85,79,223,344,1444,0.531,0.33,0.687,14.4,6.9,5.4,1,27-May-94,Madrid,Spain
194,Raül López,2,2004,2005,113,2135,280,652,45,130,128,150,31,194,428,84,5,221,278,733,0.429,0.346,0.853,18.9,6.5,1.7,3.8,15-Apr-80,Vic,Spain
195,Fernando Martín,1,1987,1987,24,146,9,31,0,1,4,11,8,28,9,7,1,20,24,22,0.29,0,0.364,6.1,0.9,1.2,0.4,25-Mar-62,Madrid,Spain
196,Juan Carlos Navarro,1,2008,2008,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,0.402,0.361,0.849,25.8,10.9,2.6,2.2,13-Jun-80,Sant Feliu de Llobregat,Spain
197,Sergio Rodríguez,5,2007,2017,353,5281,676,1651,202,600,193,261,121,525,1183,212,13,491,441,1747,0.409,0.337,0.739,15,4.9,1.5,3.4,12-Jun-86,Tenerife,Spain
198,Ricky Rubio,9,2012,2020,563,17386,2065,5277,491,1499,1751,2082,376,2396,4387,1053,77,1536,1473,6372,0.391,0.328,0.841,30.9,11.3,4.3,7.8,21-Oct-90,El Masnou,Spain
199,Wally Szczerbiak,10,2000,2009,651,20052,3486,7193,590,1453,1633,1899,671,2602,1532,388,160,970,1380,9195,0.485,0.406,0.86,30.8,14.1,4,2.4,5-Mar-77,Madrid,Spain
201,Bruno Fernando,1,2020,2020,56,713,103,199,5,37,29,51,67,198,49,18,17,42,107,240,0.518,0.135,0.569,12.7,4.3,3.5,0.9,15-Aug-98,Luanda,Angola
203,Pero Antić,2,2014,2015,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,0.392,0.314,0.73,17.4,6.3,3.5,0.9,29-Jul-82,Skopje,Macedonia
204,Cedi Osman,3,2018,2020,202,5026,716,1639,285,782,230,321,103,708,390,136,30,237,433,1947,0.437,0.364,0.717,24.9,9.6,3.5,1.9,8-Apr-95,Ohrid,Macedonia
206,Dalibor Bagarić,3,2001,2003,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,0.361,0,0.559,10.2,2.6,2.5,0.4,7-Feb-80,Munich,Germany
207,Uwe Blab,5,1986,1990,235,1966,185,427,0,0,135,222,128,413,102,19,85,141,344,505,0.433,,0.608,8.4,2.1,1.8,0.4,26-Mar-62,Munich,Germany
208,Isaac Bonga,2,2019,2020,88,1370,123,267,25,79,78,100,80,247,91,54,26,64,165,349,0.461,0.316,0.78,15.6,4,2.8,1,8-Nov-99,Neuwied,Germany
209,Carlos Boozer,13,2003,2015,861,26901,5847,11221,1,14,2281,3158,2037,8192,1928,765,346,1824,2612,13976,0.521,0.071,0.722,31.2,16.2,9.5,2.2,20-Nov-81,Aschaffenburg,Germany
210,Shawn Bradley,12,1994,2005,832,19531,2713,5935,4,39,1322,1847,1743,5268,573,532,2119,1059,2567,6752,0.457,0.103,0.716,23.5,8.1,6.3,0.7,22-Mar-72,Landstuhl,Germany
211,John Brown,7,1974,1980,486,10108,1348,2979,0,0,918,1172,824,2126,703,250,76,234,1449,3614,0.453,,0.783,20.8,7.4,4.4,1.4,14-Dec-51,Frankfurt,Germany
212,Kenton Edelin,1,1985,1985,10,143,4,13,0,0,3,8,8,26,10,5,4,3,39,11,0.308,,0.375,14.3,1.1,2.6,1,24-May-62,Heidelburg,Germany
213,Jo Jo English,3,1993,1995,50,577,74,178,11,32,20,36,12,54,46,18,13,46,85,179,0.416,0.344,0.556,11.5,3.6,1.1,0.9,4-Feb-70,Frankfurt,Germany
214,Frido Frey,1,1947,1947,23,,28,97,,,32,56,,,14,,,,37,88,0.289,,0.571,,3.8,,0.6,26-Oct-21,,Germany
215,Donté Greene,4,2009,2012,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,0.406,0.304,0.701,16.8,6.1,2.4,0.7,21-Feb-88,Munich,Germany
216,Elias Harris,1,2014,2014,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,,,5.5,0,0.5,0.5,6-Jul-89,Speyer,Germany
217,Charlie Hoefer,2,1947,1948,65,,133,533,,,95,147,,,36,,,,159,361,0.25,,0.646,,5.6,,0.6,16-Sep-21,Frankfort,Germany
218,Maxi Kleber,3,2018,2020,217,4598,563,1209,236,665,181,226,273,951,209,87,208,142,433,1543,0.466,0.355,0.801,21.2,7.1,4.4,1,29-Jan-92,Wurzburg,Germany
219,Dirk Nowitzki,21,1999,2019,1522,51368,11169,23734,1982,5210,7240,8239,1468,11489,3651,1210,1281,2494,3601,31560,0.471,0.38,0.879,33.8,20.7,7.5,2.4,19-Jun-78,Wurzburg,Germany
220,Tim Ohlbrecht,1,2013,2013,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,0.333,,1,4,1,0.3,0.3,30-Aug-88,Wuppertal,Germany
221,Tibor Pleiß,1,2016,2016,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,0.44,0,1,6.8,2,1.3,0.2,2-Nov-89,Bergisch Gladbach,Germany
222,Anthony Randolph,6,2009,2014,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,0.453,0.241,0.74,15.2,7.1,4.3,0.7,15-Jul-89,Worzbach,Germany
223,Detlef Schrempf,16,1986,2001,1136,33597,5400,10995,475,1236,4486,5585,1871,7023,3833,856,312,2268,3360,15761,0.491,0.384,0.803,29.6,13.9,6.2,3.4,21-Jan-63,Leverkusen,Germany
224,Dennis Schröder,7,2014,2020,496,12654,2643,6063,564,1674,1148,1387,202,1404,2260,392,61,1173,950,6998,0.436,0.337,0.828,25.5,14.1,2.8,4.6,15-Sep-93,Braunschweig,Germany
225,Daniel Theis,3,2018,2020,194,3410,513,925,76,221,204,271,317,925,235,88,174,143,537,1306,0.555,0.344,0.753,17.6,6.7,4.8,1.2,4-Apr-92,Salzgitter,Germany
226,Kiki Vandeweghe,13,1981,1993,810,24521,6139,11699,218,592,3484,3997,893,2785,1668,468,243,1310,1560,15980,0.525,0.368,0.872,30.3,19.7,3.4,2.1,1-Aug-58,Wiesbaden,Germany
227,Moritz Wagner,2,2019,2020,88,1281,216,437,47,157,121,148,73,304,80,39,32,105,209,600,0.494,0.299,0.818,14.6,6.8,3.5,0.9,26-Apr-97,Berlin,Germany
228,Duane Washington,2,1988,1993,19,184,18,47,2,4,16,20,5,24,39,13,0,11,25,54,0.383,0.5,0.8,9.7,2.8,1.3,2.1,31-Aug-64,Eschwege,Germany
229,Chris Welp,3,1988,1990,109,1173,140,314,0,1,79,116,88,265,43,34,54,66,259,359,0.446,0,0.681,10.8,3.3,2.4,0.4,2-Jan-64,Delmenhorst,Germany
230,Paul Zipser,2,2017,2018,98,1667,169,455,70,209,50,65,28,256,82,35,31,83,164,458,0.371,0.335,0.769,17,4.7,2.6,0.8,18-Feb-94,Heidelberg,Germany
232,Serge Ibaka,11,2010,2020,808,23109,4215,8201,532,1477,1181,1559,1744,5944,622,351,1672,1089,2279,10143,0.514,0.36,0.758,28.6,12.6,7.4,0.8,18-Sep-89,Brazzaville,Congo
234,David Andersen,2,2010,2011,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,0.44,0.347,0.674,12.3,4.9,2.8,0.6,23-Jun-80,Carlton,Australia
235,Chris Anstey,3,1998,2000,155,2157,303,734,4,29,203,269,178,534,127,78,65,147,373,813,0.413,0.138,0.755,13.9,5.2,3.4,0.8,1-Jan-75,Melbourne,Australia
236,Cameron Bairstow,2,2015,2016,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,0.296,0.2,0.846,4.6,1.2,1,0.2,7-Dec-90,Brisbane,Australia
237,Andrew Bogut,14,2006,2019,705,19862,2986,5585,3,25,833,1495,1754,6112,1546,442,1091,1204,2186,6808,0.535,0.12,0.557,28.2,9.7,8.7,2.2,28-Nov-84,Melbourne,Australia
238,Jonah Bolden,2,2019,2020,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,0.486,0.34,0.484,13.5,4.3,3.4,0.8,2-Jan-96,Melbourne,Australia
239,Mark Bradtke,1,1997,1997,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,0.431,,0.692,7,1.6,1.9,0.2,27-Sep-68,Adelaide,Australia
240,Ryan Broekhoff,2,2019,2020,59,633,79,185,58,144,22,27,13,106,33,11,8,22,50,238,0.427,0.403,0.815,10.7,4,1.8,0.6,23-Aug-90,Melbourne,Australia
241,Mitch Creek,1,2019,2019,5,48,8,16,0,2,5,7,6,12,6,2,0,1,3,21,0.5,0,0.714,9.6,4.2,2.4,1.2,27-Apr-92,Horsham,Australia
242,Matthew Dellavedova,7,2014,2020,434,8849,863,2217,396,1075,305,364,161,774,1591,202,20,546,824,2427,0.389,0.368,0.838,20.4,5.6,1.8,3.7,8-Sep-90,Maryborough,Australia
243,Dante Exum,5,2015,2020,239,4429,499,1226,165,536,203,265,89,424,502,97,42,301,420,1366,0.407,0.308,0.766,18.5,5.7,1.8,2.1,13-Jul-95,Melbourne,Australia
244,Andrew Gaze,2,1994,1999,26,128,16,42,9,24,2,2,3,12,11,4,2,7,16,43,0.381,0.375,1,4.9,1.7,0.5,0.4,24-Jul-65,Melbourne,Australia
245,Shane Heal,2,1997,2004,49,308,33,121,24,83,7,10,3,22,38,4,3,22,22,97,0.273,0.289,0.7,6.3,2,0.4,0.8,6-Sep-70,Melbourne,Australia
246,Isaac Humphries,1,2019,2019,5,56,6,21,3,11,0,0,4,11,0,1,0,0,7,15,0.286,0.273,,11.2,3,2.2,0,5-Jan-98,Sydney,Australia
247,Joe Ingles,6,2015,2020,478,12169,1415,3169,810,1991,320,426,150,1539,1737,476,73,764,897,3960,0.447,0.407,0.751,25.5,8.3,3.2,3.6,2-Oct-87,Happy Valley,Australia
248,Kyrie Irving,9,2012,2020,528,17827,4346,9332,1119,2870,2031,2316,407,1955,3012,699,187,1395,1171,11842,0.466,0.39,0.877,33.8,22.4,3.7,5.7,23-Mar-92,Melbourne,Australia
249,Nathan Jawai,2,2009,2010,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,0.435,0,0.684,9.6,2.8,2.4,0.5,10-Oct-86,Sydney,Australia
250,Luc Longley,10,1992,2001,567,12006,1685,3647,0,5,720,947,872,2794,836,278,549,942,1730,4090,0.462,0,0.76,21.2,7.2,4.9,1.5,19-Jan-69,Melbourne,Australia
251,Mangok Mathiang,1,2018,2018,4,20,4,7,0,0,0,1,3,10,0,1,0,0,5,8,0.571,,0,5,2,2.5,0,8-Oct-92,Melbourne,Australia
252,Patty Mills,11,2010,2020,671,12982,2111,4901,1059,2719,580,681,211,1118,1549,440,53,659,883,5861,0.431,0.389,0.852,19.3,8.7,1.7,2.3,11-Aug-88,Canberra,Australia
253,Luke Schenscher,2,2006,2007,31,267,23,49,0,0,9,20,18,54,8,3,7,9,46,55,0.469,,0.45,8.6,1.8,1.7,0.3,31-Dec-82,Hope Forest,Australia
254,Ben Simmons,3,2018,2020,217,7449,1459,2605,2,24,633,1067,430,1800,1726,371,164,752,606,3553,0.56,0.083,0.593,34.3,16.4,8.3,8,20-Jul-96,Melbourne,Australia
256,Omri Casspi,10,2010,2019,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,0.454,0.368,0.678,20.3,7.9,4,1.1,22-Jun-88,Holon,Israel
257,T.J. Leaf,3,2018,2020,139,1203,199,405,31,91,36,63,95,278,42,24,27,30,102,465,0.491,0.341,0.571,8.7,3.3,2,0.3,30-Apr-97,Tel Aviv,Israel
258,Gal Mekel,2,2014,2015,35,335,33,106,5,23,8,12,5,28,76,6,1,33,32,79,0.311,0.217,0.667,9.6,2.3,0.8,2.2,4-Mar-88,Petah Tikva,Israel
260,Jakob Poeltl,4,2017,2020,279,4594,673,1055,1,2,180,336,552,1343,278,122,283,216,575,1527,0.638,0.5,0.536,16.5,5.5,4.8,1,15-Oct-95,Vienna,Austria
262,Chris Boucher,3,2018,2020,91,983,175,376,50,156,104,131,123,334,28,28,85,35,145,504,0.465,0.321,0.794,10.8,5.5,3.7,0.3,11-Jan-93,Castries,Saint Lucia
264,Tariq Abdul-Wahad,6,1998,2003,236,4807,720,1726,18,76,372,529,286,776,266,184,83,309,485,1830,0.417,0.237,0.703,20.4,7.8,3.3,1.1,3-Nov-74,Maisons Alfort,France
265,Alexis Ajinça,7,2009,2017,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,0.503,0.286,0.797,13.3,5.3,3.9,0.5,6-May-88,Saint-Etienne,France
266,Nicolas Batum,12,2009,2020,789,24733,3245,7470,1247,3496,1381,1642,835,4137,2967,747,500,1449,1398,9118,0.434,0.357,0.841,31.3,11.6,5.2,3.8,14-Dec-88,Lisieux,France
267,Nando De Colo,2,2013,2014,119,1414,169,394,49,135,66,79,37,211,203,63,12,116,135,453,0.429,0.363,0.835,11.9,3.8,1.8,1.7,23-Jun-87,Sainte-Catherine-les-Arras,France
268,Boris Diaw,14,2004,2017,1064,28768,3805,7711,475,1413,1054,1470,1258,4634,3684,648,510,1897,2269,9139,0.493,0.336,0.717,27,8.6,4.4,3.5,16-Apr-82,Cormeilles-en-Parisis,France
269,Yakhouba Diawara,4,2007,2010,187,2614,233,653,122,405,67,103,77,258,122,52,16,72,276,655,0.357,0.301,0.65,14,3.5,1.4,0.7,29-Aug-82,Paris,France
270,Evan Fournier,8,2013,2020,523,14858,2663,5930,933,2485,1119,1387,224,1433,1360,444,59,862,1278,7378,0.449,0.375,0.807,28.4,14.1,2.7,2.6,29-Oct-92,Saint-Maurice,France
271,Rudy Gobert,7,2014,2020,474,13994,2043,3193,0,3,1464,2321,1542,5191,646,327,1030,771,1240,5550,0.64,0,0.631,29.5,11.7,11,1.4,26-Jun-92,Saint-Quentin,France
272,Jaylen Hoard,1,2020,2020,13,103,15,32,0,3,8,13,14,32,4,5,0,4,12,38,0.469,0,0.615,7.9,2.9,2.5,0.3,30-Mar-99,Le Havre,France
273,William Howard,1,2020,2020,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,0,0,,6.5,0,1,0.5,25-Oct-93,Montbrison,France
274,Joffrey Lauvergne,4,2015,2018,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159,0.479,0.285,0.719,13.6,5.6,3.8,0.9,30-Sep-91,Mulhouse,France
275,Timothé Luwawu-Cabarrot,4,2017,2020,218,3519,444,1115,201,595,251,303,79,445,184,81,30,169,430,1340,0.398,0.338,0.828,16.1,6.1,2,0.8,9-May-95,Cannes,France
276,Ian Mahinmi,12,2008,2020,618,10353,1201,2254,8,50,799,1305,937,2705,357,357,443,601,1635,3209,0.533,0.16,0.612,16.8,5.2,4.4,0.6,5-Nov-86,Rouen,France
277,Cozell McQueen,1,1987,1987,3,7,3,3,0,0,0,0,3,8,0,0,1,0,1,6,1,,,2.3,2,2.7,0,18-Jan-62,Paris,France
278,Jérôme Moïso,5,2001,2005,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,0.489,0,0.593,9.6,2.7,2.7,0.3,15-Jun-78,Paris,France
279,Adam Mokoka,1,2020,2020,11,112,12,28,6,15,2,4,7,10,4,4,0,2,17,32,0.429,0.4,0.5,10.2,2.9,0.9,0.4,18-Jul-98,Paris,France
280,Erik Murphy,1,2014,2014,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,0.231,0,,2.6,0.3,0.3,0.1,26-Oct-90,Lyon,France
281,Elie Okobo,2,2019,2020,108,1677,186,471,64,203,87,118,28,188,242,56,11,107,163,523,0.395,0.315,0.737,15.5,4.8,1.7,2.2,23-Oct-97,Bordeaux,France
282,Johan Petro,8,2006,2013,473,7262,976,2114,2,13,248,366,536,1836,227,193,234,374,1158,2202,0.462,0.154,0.678,15.4,4.7,3.9,0.5,27-Jan-86,Paris,France
283,Vincent Poirier,1,2020,2020,22,130,17,36,1,2,6,7,13,43,8,2,9,8,25,41,0.472,0.5,0.857,5.9,1.9,2,0.4,17-Oct-93,Clamart,France
284,Antoine Rigaudeau,1,2003,2003,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,0.229,0.2,,8.3,1.5,0.7,0.5,17-Dec-71,Cholet,France
285,Michael Stewart,8,1998,2005,286,3303,246,556,0,0,131,251,349,907,88,56,278,142,557,623,0.442,,0.522,11.5,2.2,3.2,0.3,25-Apr-75,Cucq-Trepied-Stella-Plage,France
286,Pape Sy,1,2011,2011,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,0.333,0,1,7,2.3,1,0.7,5-Apr-88,Loudeac,France
287,Axel Toupane,2,2016,2017,25,352,30,79,14,44,13,17,8,32,15,8,7,6,46,87,0.38,0.318,0.765,14.1,3.5,1.3,0.6,23-Jul-92,Mulhouse,France
288,Dominique Wilkins*,15,1983,1999,1074,38113,9963,21589,711,2231,6031,7438,2950,7169,2677,1378,642,2669,2061,26668,0.461,0.319,0.811,35.5,24.8,6.7,2.5,12-Jan-60,Paris,France
289,Guerschon Yabusele,2,2018,2019,74,486,61,138,21,65,30,44,40,105,31,12,12,27,55,173,0.442,0.323,0.682,6.6,2.3,1.4,0.4,17-Dec-95,Dreux,France
291,Hasheem Thabeet,5,2010,2014,224,2357,182,321,0,0,119,206,203,595,27,59,184,123,453,483,0.567,,0.578,10.5,2.2,2.7,0.1,16-Feb-87,Dar es Salaam,Tanzania
293,Norvel Pelle,1,2020,2020,24,232,25,48,0,1,7,14,20,72,8,3,31,18,55,57,0.521,0,0.5,9.7,2.4,3,0.3,3-Feb-93,St. John's,Antigua Barbuda
295,Dairis Bertāns,1,2019,2019,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,0.255,0.294,,13.9,2.8,0.8,0.8,9-Sep-89,Valmiera,Latvia
296,Dāvis Bertāns,4,2017,2020,274,5109,733,1663,508,1235,225,265,98,760,312,118,122,170,440,2199,0.441,0.411,0.849,18.6,8,2.8,1.1,12-Nov-92,Valmiera,Latvia
297,Andris Biedriņš,10,2005,2014,516,11146,1432,2409,0,2,383,766,1190,3631,467,331,580,479,1626,3247,0.594,0,0.5,21.6,6.3,7,0.9,2-Apr-86,Riga,Latvia
298,Rodions Kurucs,2,2019,2020,110,1978,281,626,91,274,96,130,81,383,103,66,30,123,236,749,0.449,0.332,0.738,18,6.8,3.5,0.9,5-Feb-98,Cesis,Latvia
299,Anžejs Pasečņiks,1,2020,2020,27,437,61,116,0,3,34,58,42,107,18,9,12,24,75,156,0.526,0,0.586,16.2,5.8,4,0.7,20-Dec-95,Riga,Latvia
300,Kristaps Porziņģis,4,2016,2020,243,7578,1604,3692,425,1188,843,1050,405,1857,350,177,493,424,775,4476,0.434,0.358,0.803,31.2,18.4,7.6,1.4,2-Aug-95,Liepaja,Latvia
301,Gundars Vētra,1,1993,1993,13,89,19,40,3,3,4,6,4,8,6,2,0,2,12,45,0.475,1,0.667,6.8,3.5,0.6,0.5,22-May-67,Ventspils,Latvia
303,Jonas Jerebko,9,2010,2019,635,11323,1465,3203,400,1101,589,765,763,2522,525,321,153,438,1225,3919,0.457,0.363,0.77,17.8,6.2,4,0.8,2-Mar-87,Kinna,Sweden
304,Miles Simon,1,1999,1999,5,19,1,5,0,2,0,0,1,2,0,1,0,3,1,2,0.2,0,,3.8,0.4,0.4,0,21-Nov-75,Stockholm,Sweden
305,Jeffery Taylor,3,2013,2015,132,2566,299,731,82,257,127,191,80,263,107,72,21,92,234,807,0.409,0.319,0.665,19.4,6.1,2,0.8,23-May-89,Norrkoping,Sweden
307,Stéphane Lasme,1,2008,2008,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,0.451,,0.594,18.9,5.2,3.3,0.2,17-Dec-82,Port-Gentil,Gabon
308,Chris Silva,1,2020,2020,44,346,48,78,0,3,37,55,60,126,23,9,21,32,85,133,0.615,0,0.673,7.9,3,2.9,0.5,19-Sep-96,Libreville,Gabon
310,Rolando Blackman,13,1982,1994,980,32087,6887,13969,229,667,3620,4309,1047,3278,2981,715,274,1829,1634,17623,0.493,0.343,0.84,32.7,18,3.3,3,26-Feb-59,Panama City,Panama
311,Gary Forbes,2,2011,2012,111,1504,236,544,48,141,125,178,55,218,103,47,10,100,133,645,0.434,0.34,0.702,13.5,5.8,2,0.9,25-Feb-85,Colon,Panama
312,Rubén Garcés,1,2001,2001,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,0.318,,0.25,5.6,1.2,2.2,0.4,17-Oct-73,Colon,Panama
313,Stuart Gray,7,1985,1991,386,3457,338,758,0,7,230,347,309,1020,148,64,133,243,645,906,0.446,0,0.663,9,2.3,2.6,0.4,27-May-63,Panama Canal Zone,Panama
315,Ernie Grunfeld,9,1978,1986,693,12916,2065,4328,33,98,961,1248,516,1815,1419,472,134,801,1511,5124,0.477,0.337,0.77,18.6,7.4,2.6,2,24-Apr-55,Satu-Mare,Romania
316,Gheorghe Mureșan,6,1994,2000,307,6729,1265,2206,0,1,490,761,658,1957,150,171,455,446,958,3020,0.573,0,0.644,21.9,9.8,6.4,0.5,14-Feb-71,Triteni,Romania
318,Mike Flynn,3,1976,1978,211,3376,536,1279,25,99,220,350,186,437,454,142,25,156,270,1317,0.419,0.253,0.629,16,6.2,2.1,2.2,31-Jul-53,Casablanca,Morocco
320,Dragan Bender,4,2017,2020,187,3755,373,934,183,567,85,130,113,720,237,54,106,202,372,1014,0.399,0.323,0.654,20.1,5.4,3.9,1.3,17-Nov-97,Capljina,Bosnia
321,Bojan Bogdanović,6,2015,2020,462,13172,2305,5008,872,2215,1088,1268,225,1607,689,255,37,723,746,6570,0.46,0.394,0.858,28.5,14.2,3.5,1.5,18-Apr-89,Mostar,Bosnia
322,Sasha Danilović,2,1996,1997,75,2331,331,754,119,314,176,223,41,182,149,69,12,153,209,957,0.439,0.379,0.789,31.1,12.8,2.4,2,26-Feb-70,Sarajevo,Bosnia
323,Mile Ilić,1,2007,2007,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0,,,1.2,0,0.2,0,2-Jun-84,Tuzla,Bosnia
324,Ognjen Kuzmić,2,2014,2015,37,164,13,25,0,0,9,15,17,38,8,5,5,15,30,35,0.52,,0.6,4.4,0.9,1,0.2,16-May-90,Doboj,Bosnia
325,Damir Markota,1,2007,2007,30,170,19,52,6,16,7,11,11,31,6,3,1,15,22,51,0.365,0.375,0.636,5.7,1.7,1,0.2,26-Dec-85,Sarajevo,Bosnia
